source,target,weight,source_label,target_label
UCHGd14aYuZZShLD73dkk6mg,UCWWkebAekppaL5b5CNlppuw,1,@noemiherrera3152,@ninettmartinez425
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCIUhbSCy3-SGRe5UtqM4fzQ,1,@crislexrubi4387,@jeanmorales1677
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCIp19h9igblA2YKfSLPDAug,1,@crislexrubi4387,@JoseReyes-rn6sh
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCRcSR3Lvn9DZAmJpVPANfZQ,1,@crislexrubi4387,@WalksandSuch
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCRznz9-N3Qc1w-qNdLSIY2Q,1,@crislexrubi4387,@jimmygomez724
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCSTAUWVc1_82DHYeqOsqEFA,1,@crislexrubi4387,@TheAlexX_C
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCXmrpc6Li0spcKxtS0Q_ptg,1,@crislexrubi4387,@melvinperez6710
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCY7Hq7F9Lnucf-Yr6JkHZNw,1,@crislexrubi4387,@maynorcalel1442
UCHMQ_lDhibZ-XZ_3fo6oxwg,UC_ljZ1hZXR9pzexFz87P5ZA,1,@crislexrubi4387,@ChRiStOpHeR7969
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCaT6M2zp7X6r6Whd8Vv3kHQ,1,@crislexrubi4387,@alexarcos8349
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCgLrWFdYitoP-b7-PxtUr-w,1,@crislexrubi4387,@zetag
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCgLurCo-e019HGODcjXHWCw,1,@crislexrubi4387,@perritojuega1
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCi-vPdnpQreC7BkFs40mJGA,1,@crislexrubi4387,@bryansicasales4280
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCqilIa8r7iek5sGYg_q6ofA,1,@crislexrubi4387,@rolandojuchuna484
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCs_5qeqdku9tGAq22y3OcuQ,1,@crislexrubi4387,@alexandrevasquez4135
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCtMBF_1O2jY2INlb_luuB_A,1,@crislexrubi4387,@mynorgudiel8646
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCwUAv3_LpWVtTIi7lkmTL7A,1,@crislexrubi4387,@kingr4706
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCxKR3RA8T-kxMgq_2WWhRcQ,1,@crislexrubi4387,@elenaluarca9377
UCHMQ_lDhibZ-XZ_3fo6oxwg,UCyzf29IYjNw67gGIfsjgtxA,1,@crislexrubi4387,@carlosoliva9249
UCHTGCgY2l-DQJIvlA_cpa_Q,UCHhHUjaMAZ8SiXdCUCj9DkQ,1,@virgiliogarcia3039,@fredymendez1786
UCHTGCgY2l-DQJIvlA_cpa_Q,UCKDR0f2fu2UzWL8mBv5-BHw,1,@virgiliogarcia3039,@mireyamorales6595
UCHTGCgY2l-DQJIvlA_cpa_Q,UCL13XhnRzbGokEkCkEOb0-g,1,@virgiliogarcia3039,@raquelprado3643
UCHTGCgY2l-DQJIvlA_cpa_Q,UCL1MT278vSaQ83ZDkVWn1gw,1,@virgiliogarcia3039,@elmorodriguez6978
UCHTGCgY2l-DQJIvlA_cpa_Q,UCLFdHr9BEbXHkoJopbEPLZw,1,@virgiliogarcia3039,@kanterra4584
UCHTGCgY2l-DQJIvlA_cpa_Q,UCLggDc_a5HriXv7I1h02sOA,1,@virgiliogarcia3039,@guillermogonzalez5153
UCHTGCgY2l-DQJIvlA_cpa_Q,UCN2N_wYOw6fMwCeSzdXLPIw,1,@virgiliogarcia3039,@danielantoniogonzalezflore4901
UCHTGCgY2l-DQJIvlA_cpa_Q,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,@virgiliogarcia3039,@carlosmedranovelasquez6380
UCHTGCgY2l-DQJIvlA_cpa_Q,UCNBnKqWf4d-rS4HwJRQljmQ,1,@virgiliogarcia3039,@LE_A22
UCHTGCgY2l-DQJIvlA_cpa_Q,UCNIeXbV_mEwpa412h1aqUWw,1,@virgiliogarcia3039,@juandeleon9060
UCHTGCgY2l-DQJIvlA_cpa_Q,UCNkcuy42zEwddwEcOd_HpnA,1,@virgiliogarcia3039,@vanigomez492
UCHTGCgY2l-DQJIvlA_cpa_Q,UCOLGv5Pf6BF2wFcwUzgcvHg,1,@virgiliogarcia3039,@welfrealdana5559
UCHTGCgY2l-DQJIvlA_cpa_Q,UCOS8ViEkccrTZx2w2ccxotA,1,@virgiliogarcia3039,@OscarHernandez-q8y
UCHTGCgY2l-DQJIvlA_cpa_Q,UCOh6DaZC_x9HASnlRylEMfw,1,@virgiliogarcia3039,@AndresMedina-v1s
