node_id,node_type,raw_id,label,comunidad
author::UCRcSR3Lvn9DZAmJpVPANfZQ,author,UCRcSR3Lvn9DZAmJpVPANfZQ,@WalksandSuch,5
author::UCRelkU8JiZBytTzebJxaa-w,author,UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,1
author::UCRfkkatKrNtAARnXMMYBGlA,author,UCRfkkatKrNtAARnXMMYBGlA,@BernerSoza-mg3vx,4
author::UCRlCV9zSn7avAWh-9_XFWqQ,author,UCRlCV9zSn7avAWh-9_XFWqQ,@ronyarana8849,1
author::UCRvPToDkkumha7WJAfCDk1A,author,UCRvPToDkkumha7WJAfCDk1A,@ligiaguerra3057,2
author::UCRznz9-N3Qc1w-qNdLSIY2Q,author,UCRznz9-N3Qc1w-qNdLSIY2Q,@jimmygomez724,5
author::UCSTAUWVc1_82DHYeqOsqEFA,author,UCSTAUWVc1_82DHYeqOsqEFA,@TheAlexX_C,5
author::UCSou6a2OuYGSvPjm5psquyA,author,UCSou6a2OuYGSvPjm5psquyA,@FranciscoRivera-sf7ne,1
author::UCTD6q1nyIe3Y7HhqjaMj72w,author,UCTD6q1nyIe3Y7HhqjaMj72w,@JuanChang-r6k,1
author::UCTP3O0rMnc8z8v8jaDQwL0w,author,UCTP3O0rMnc8z8v8jaDQwL0w,@RobertoZelaya-x1v,1
author::UCTTILH6QCIxbTnEWxwRqs1g,author,UCTTILH6QCIxbTnEWxwRqs1g,@3762Jorge,3
author::UCThW2XNsAaBKme5PUt7n-Zg,author,UCThW2XNsAaBKme5PUt7n-Zg,@thelmamoran8565,1
author::UCTwSut16JyAg3mX6LVUNGqA,author,UCTwSut16JyAg3mX6LVUNGqA,@SuperVictor2005,1
author::UCTylKrsqkrBKIqubMu_5N0Q,author,UCTylKrsqkrBKIqubMu_5N0Q,@edwingeovanymarroquinmarro6684,1
author::UCUIIIPTVDVHAXqhC_5V6lPA,author,UCUIIIPTVDVHAXqhC_5V6lPA,@gorrarota,1
author::UCUoYsrx1oZnCZ0usbBJn4fA,author,UCUoYsrx1oZnCZ0usbBJn4fA,@AnaDiaz-re9sq,2
author::UCV0iizTBoOfdAFX_thfI9BA,author,UCV0iizTBoOfdAFX_thfI9BA,@BenjaminLarios-jd8nk,1
author::UCV0lM03g5fg5pbPj97-sAtA,author,UCV0lM03g5fg5pbPj97-sAtA,@genarodelgado3929,2
author::UCV3fr-YOixFKCZBbJP1-X4w,author,UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,4
author::UCVC2QugcI1G4RvlCiUqd1aQ,author,UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,3
author::UCVQf0tzL7xRzFJsABVVULpg,author,UCVQf0tzL7xRzFJsABVVULpg,@DennisseLopetegi,7
author::UCVdjCrh4tQoX3haNAZv-n5A,author,UCVdjCrh4tQoX3haNAZv-n5A,@aurahernandez5646,6
author::UCVhif9eV0f8plICen2DnpKA,author,UCVhif9eV0f8plICen2DnpKA,@blogarteplus,3
author::UCW-JC6lebVmf2P1dmY_L94g,author,UCW-JC6lebVmf2P1dmY_L94g,@dinoraoroxon5771,2
author::UCW80DaMjQlEUibC98Cot-Dg,author,UCW80DaMjQlEUibC98Cot-Dg,@rogeraldana4289,2
author::UCWIZUtKJ636y-4TYrNvok0g,author,UCWIZUtKJ636y-4TYrNvok0g,@cesarandreas7824,1
author::UCWWkebAekppaL5b5CNlppuw,author,UCWWkebAekppaL5b5CNlppuw,@ninettmartinez425,12
author::UCWaRixDdpgllTBf4V0jPnKQ,author,UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,4
author::UCWoAVGVqCn4xtINCMOTM4jg,author,UCWoAVGVqCn4xtINCMOTM4jg,@OmarMartinez-vv8re,2
author::UCWvntqPQx99k_Z_skWKqNSA,author,UCWvntqPQx99k_Z_skWKqNSA,@AntonioChiyal-x5s,4
author::UCXN2s7DwTJm33xO-pNkAdaA,author,UCXN2s7DwTJm33xO-pNkAdaA,@edithsan7688,8
author::UCXO1BBohNWXkK9SBDAG2ySg,author,UCXO1BBohNWXkK9SBDAG2ySg,@JBFlute92,3
author::UCXSkL3ejZ8qWYyF_M7s_QKA,author,UCXSkL3ejZ8qWYyF_M7s_QKA,@JacintaTzoy,1
author::UCXVLc8CmAO813ubM-fLvCDw,author,UCXVLc8CmAO813ubM-fLvCDw,@herminiasaquimux7565,3
author::UCXXh7yg5KUFIWylTiKVEFKQ,author,UCXXh7yg5KUFIWylTiKVEFKQ,@MrDuenderojo,1
author::UCXgr7vXlRrsaskPdo097kGA,author,UCXgr7vXlRrsaskPdo097kGA,@Rogergh-nw4oj,1
author::UCXl30Y_upRqbti52fmjK4YA,author,UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,3
author::UCXmrpc6Li0spcKxtS0Q_ptg,author,UCXmrpc6Li0spcKxtS0Q_ptg,@melvinperez6710,5
author::UCXr8_5WtGeipe4haOoQDgyQ,author,UCXr8_5WtGeipe4haOoQDgyQ,@amyherrera7352,1
author::UCY7Hq7F9Lnucf-Yr6JkHZNw,author,UCY7Hq7F9Lnucf-Yr6JkHZNw,@maynorcalel1442,5
author::UCYN4wSQ1Sx4_LurxLlW7MPg,author,UCYN4wSQ1Sx4_LurxLlW7MPg,@belarminavillatoro6474,1
author::UCYwpX26TrCxq8TvbKGRYLXA,author,UCYwpX26TrCxq8TvbKGRYLXA,@beneficioelcaminovillacana8540,1
author::UCZ51R_9Q9C0c8I3pAWhtmjQ,author,UCZ51R_9Q9C0c8I3pAWhtmjQ,@belvettzapeta1251,1
author::UCZFQwqh90apuL8eFhvRBkUg,author,UCZFQwqh90apuL8eFhvRBkUg,@luisricardo9671,4
author::UCZIQnb1fkwe39Iw2TAu-bGA,author,UCZIQnb1fkwe39Iw2TAu-bGA,@jorgegomez2237,3
author::UCZLG9qH0tUjNhEGFIUt0CYw,author,UCZLG9qH0tUjNhEGFIUt0CYw,@SoniaMarroquin-y6e,1
author::UCZOmq6MwFDVoCaEl99BRRaw,author,UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,3
author::UCZeIIQrGAedW8tCbKWmGY-A,author,UCZeIIQrGAedW8tCbKWmGY-A,@mariocordon8873,2
author::UCZjm6U576nX8WOiLhmMR3bw,author,UCZjm6U576nX8WOiLhmMR3bw,@MariaNavarroYT,6
author::UC_3xuTXvMIWU5MYP9HkJ3vQ,author,UC_3xuTXvMIWU5MYP9HkJ3vQ,@Historia-wm4os,8
author::UC_6KbBY1bsYXz9fwFS0eQRg,author,UC_6KbBY1bsYXz9fwFS0eQRg,@imrcp5694,3
author::UC_LYoGs5C3mbZKZuKuqYCvw,author,UC_LYoGs5C3mbZKZuKuqYCvw,@javiercifuentesarchila6041,2
author::UC_NRVt2UP88ZNTwzrZ66JSg,author,UC_NRVt2UP88ZNTwzrZ66JSg,@aditalissethevasquezrojas8039,16
author::UC_ljZ1hZXR9pzexFz87P5ZA,author,UC_ljZ1hZXR9pzexFz87P5ZA,@ChRiStOpHeR7969,5
author::UCa36MjQLoPAmgJo-R3G8WQA,author,UCa36MjQLoPAmgJo-R3G8WQA,@elsasalguero6914,4
author::UCaKAjTW9MVub_clgr4DRYjQ,author,UCaKAjTW9MVub_clgr4DRYjQ,@josecastillo4390,2
author::UCaT4saRcyqCLE657Rq2hhZQ,author,UCaT4saRcyqCLE657Rq2hhZQ,@elmilenial4064,4
author::UCaT6M2zp7X6r6Whd8Vv3kHQ,author,UCaT6M2zp7X6r6Whd8Vv3kHQ,@alexarcos8349,5
author::UCat2qkYvqmtDNEmo2PVuhXw,author,UCat2qkYvqmtDNEmo2PVuhXw,@DoraSalas-j5o,6
author::UCbNanjFI51cwGqMAb2rOrBw,author,UCbNanjFI51cwGqMAb2rOrBw,@RosaMontesdeOca777,6
author::UCbYoNG5J3Au5BqtbXogfEFw,author,UCbYoNG5J3Au5BqtbXogfEFw,@Luis-gn3fj,7
author::UCbrtvygfRT6QXqWDNrOf-cA,author,UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,3
author::UCcFIBN-rtC3d3hXeuN5TfWw,author,UCcFIBN-rtC3d3hXeuN5TfWw,@DenisRMC,3
author::UCc_F88PzGWtA1OPNUEASulA,author,UCc_F88PzGWtA1OPNUEASulA,@rockyscarlet,3
